id	code	naam_nederlands	naam_wetenschappelijk	taxn_vrs_key	taxongroep	usageKey	scientificName	rank	order	matchType	phylum	kingdom	genus	class	confidence	synonym	status	family
37	gymns-sp	Kalkmos p.p. (G)	Gymnostomum	NBNSYS0000133546	Mossen	6008827	Gymnostomum Nees & Hornsch.	GENUS	Pottiales	EXACT	Bryophyta	Plantae	Gymnostomum	Bryopsida	94	FALSE	ACCEPTED	Pottiaceae
38	gymnsaer	Groot kalkmos	Gymnostomum aeruginosum Sm.	NBNSYS0000036392	Mossen	4921819	Gymnostomum aeruginosum Smith, 1804	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Gymnostomum	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
39	gymnscal	Klein kalkmos	Gymnostomum calcareum Nees & Hornsch.	NBNSYS0000036390	Mossen	4921807	Gymnostomum calcareum Nees & Hornschuch, 1823	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Gymnostomum	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
40	gymnsvir	Stomp kalkmos	Gymnostomum viridulum Brid.	NBNSYS0000036391	Mossen	4921818	Gymnostomum viridulum Bridel, 1826	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Gymnostomum	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
41	gyrow-sp	Voegenmos (G)	Gyroweisia	NBNSYS0000133561	Mossen	2671850	Gyroweisia Schimp.	GENUS	Pottiales	EXACT	Bryophyta	Plantae	Gyroweisia	Bryopsida	94	FALSE	ACCEPTED	Pottiaceae
42	gyrowten	Voegenmos	Gyroweisia tenuis (Hedw.) Schimp.	NBNSYS0000036395	Mossen	2671855	Gyroweisia tenuis W.P.Schimper, 1876	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Gyroweisia	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
43	habro-sp	Duizendpootmos (G)	Habrodon	NBNSYS0000133564	Mossen	2681314	Habrodon Schimp.	GENUS	Hypnales	EXACT	Bryophyta	Plantae	Habrodon	Bryopsida	94	FALSE	ACCEPTED	Leskeaceae
44	habroper	Duizendpootmos	Habrodon perpusillus (De Not.) Lindb.	NBNSYS0000036761	Mossen	2681316	Habrodon perpusillus Lindberg, 1863	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Habrodon	Bryopsida	100	FALSE	ACCEPTED	Leskeaceae
45	hamat-sp	Schorpioenmos p.p. (G)	Hamatocaulis	INBSYS0000000814	Mossen	2681713	Hamatocaulis Hedenäs	GENUS	Hypnales	EXACT	Bryophyta	Plantae	Hamatocaulis	Bryopsida	94	FALSE	ACCEPTED	Amblystegiaceae
46	hamatver	Geel schorpioenmos	Hamatocaulis vernicosus (Mitt.) HedenÃ¤s	INBSYS0000000661	Mossen	2681714	Hamatocaulis vernicosus Hedenäs, 1989	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hamatocaulis	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
47	haplo-sp	Mijtermos (G)	Haplomitrium	NBNSYS0000133639	Mossen	2689551	Haplomitrium Nees	GENUS	Calobryales	EXACT	Marchantiophyta	Plantae	Haplomitrium	Haplomitriopsida	94	FALSE	ACCEPTED	Haplomitriaceae
48	haplohoo	Mijtermos	Haplomitrium hookeri (Sm.) Nees	NBNSYS0000035761	Mossen	2689552	Haplomitrium hookeri (Lyell ex Sm.) Nees	SPECIES	Calobryales	EXACT	Marchantiophyta	Plantae	Haplomitrium	Haplomitriopsida	100	FALSE	ACCEPTED	Haplomitriaceae
49	harpa-sp	Zadelmos (G)	Harpanthus	NBNSYS0000133653	Mossen	2689019	Harpanthus Nees	GENUS	Jungermanniales	EXACT	Marchantiophyta	Plantae	Harpanthus	Jungermanniopsida	94	FALSE	ACCEPTED	Harpanthaceae
50	harpaflo	Groot zadelmos	Harpanthus flotovianus (Nees) Nees	NBNSYS0000035954	Mossen	2689020	Harpanthus flotovianus (Nees) Nees	SPECIES	Jungermanniales	EXACT	Marchantiophyta	Plantae	Harpanthus	Jungermanniopsida	100	FALSE	ACCEPTED	Harpanthaceae
51	harpascu	Klein zadelmos	Harpanthus scutatus (F.Weber & D.Mohr) Spruce	NHMSYS0000310019	Mossen	4276925	Harpanthus scutatus (F.Weber & D.Mohr) Spruce	SPECIES	Jungermanniales	EXACT	Marchantiophyta	Plantae	Harpanthus	Jungermanniopsida	100	FALSE	ACCEPTED	Harpanthaceae
52	hedwi-sp	Granietmos (G)	Hedwigia	NBNSYS0000133672	Mossen	2678729	Hedwigia P.Beauv.	GENUS	Leucodontales	EXACT	Bryophyta	Plantae	Hedwigia	Bryopsida	92	FALSE	ACCEPTED	Hedwigiaceae
53	hedwicil	Recht granietmos	Hedwigia ciliata (Hedw.) P.Beauv.	NBNSYS0000022273	Mossen	5282914	Hedwigia ciliata Palisot de Beauvois, 1805	SPECIES	Leucodontales	EXACT	Bryophyta	Plantae	Hedwigia	Bryopsida	100	FALSE	ACCEPTED	Hedwigiaceae
54	hedwiste	Stergranietmos	Hedwigia stellata HedenÃ¤s	INBSYS0000000748	Mossen	5282911	Hedwigia stellata Hedenäs, 1994	SPECIES	Leucodontales	EXACT	Bryophyta	Plantae	Hedwigia	Bryopsida	100	FALSE	ACCEPTED	Hedwigiaceae
55	helod-sp	Schansmos (G)	Helodium	NBNSYS0000133715	Mossen	2679433	Helodium Warnst.	GENUS	Hypnales	EXACT	Bryophyta	Plantae	Helodium	Bryopsida	94	FALSE	ACCEPTED	Thuidiaceae
